PVS,dataset,resolution,bitrate,fps,codec,N_raw,N_clean,max_removed,min_removed,outlier_IDs,users_removed,n_users_removed,MOS_raw,MOS_iqr,MOS_corr,MOS_corr_iqr,MOS_std,MOS_ci_low,MOS_ci_high,MOS,MOS_aligned
platformer_01_1280x720_120_yuv420p.yuv_HEVC_2M,hifps_120_testnum_000,720,2.0,120,HEVC,30,30,0,0,[],[7.],1,4.0497,4.0497,4.0197,3.8778,0.861,3.742,4.358,3.8778,3.8778
platformer_01_1280x720_120_yuv420p.yuv_HEVC_5M,hifps_120_testnum_000,720,5.0,120,HEVC,30,28,1,1,"[3.0, 16.0]",[7.],1,4.6563,4.6675,4.6376,4.6875,0.475,4.492,4.843,4.6875,4.6875
platformer_01_1280x720_30_yuv420p.yuv_AV1_1M,hifps_120_testnum_000,720,1.0,30,AV1,30,27,1,2,"[9.0, 13.0, 16.0]",[7.],1,4.5747,4.6296,4.5579,4.6131,0.591,4.407,4.853,4.6131,4.6131
platformer_01_1280x720_30_yuv420p.yuv_HEVC_1.3M,hifps_120_testnum_000,720,1.3,30,HEVC,31,31,0,0,[],[7.],1,4.1568,4.1568,4.1873,4.1873,0.801,3.875,4.439,4.1873,4.1873
platformer_01_1920x1080_120_yuv420p.yuv_H264_2.5M,hifps_120_testnum_000,1080,2.5,120,H264,30,30,0,0,[],[7.],1,2.379,2.379,2.3517,2.3517,0.675,2.137,2.621,2.3517,2.3517
platformer_01_1920x1080_60_yuv420p.yuv_AV1_0.3M,hifps_120_testnum_000,1080,0.3,60,AV1,30,30,0,0,[],[7.],1,2.9717,2.9717,2.9697,2.9697,0.69,2.725,3.219,2.9697,2.9697
platformer_01_1920x1080_60_yuv420p.yuv_H264_4M,hifps_120_testnum_000,1080,4.0,60,H264,30,30,0,0,[],[7.],1,4.6727,4.6727,4.6738,4.6738,0.893,4.353,4.992,4.6738,4.6738
platformer_01_60_540,hifps_120_testnum_000,540,100.0,60,ref,30,30,0,0,[],[7.],1,5.221,5.221,5.229,5.229,0.827,4.925,5.517,5.229,5.229
platformer_01_960x540_120_yuv420p.yuv_HEVC_0.5M,hifps_120_testnum_000,540,0.5,120,HEVC,30,30,0,0,[],[7.],1,2.1387,2.1387,2.1224,2.1224,0.585,1.929,2.348,2.1224,2.1224
platformer_01_960x540_120_yuv420p.yuv_HEVC_1.3M,hifps_120_testnum_000,540,1.3,120,HEVC,31,28,3,0,"[3.0, 6.0, 9.0]",[7.],1,3.5629,3.3375,3.5737,3.3411,0.613,3.11,3.565,3.3411,3.3411
fps_01_1920x1080_120_yuv420p.yuv_H264_1.5M,hifps_120_testnum_000,1080,1.5,120,H264,31,30,1,0,[7.0],[7.],1,2.2465,2.1247,2.1247,2.1247,0.792,1.841,2.408,2.1247,2.1247
fps_01_1920x1080_120_yuv420p.yuv_H264_20M,hifps_120_testnum_000,1080,20.0,120,H264,30,29,0,1,[15.0],[7.],1,5.3353,5.4052,5.3207,5.3925,0.712,5.146,5.664,5.3925,5.3925
fps_01_1920x1080_120_yuv420p.yuv_H264_3M,hifps_120_testnum_000,1080,3.0,120,H264,30,29,1,0,[7.0],[7.],1,3.2657,3.1748,3.1748,3.1748,0.602,2.956,3.394,3.1748,3.1748
fps_01_1920x1080_120_yuv420p.yuv_H264_5M,hifps_120_testnum_000,1080,5.0,120,H264,30,30,0,0,[],[7.],1,4.0263,4.0263,3.9955,3.9955,0.792,3.743,4.31,3.9955,3.9955
fps_01_60_1080,hifps_120_testnum_000,1080,100.0,60,ref,30,29,0,1,[8.0],[7.],1,5.5033,5.5886,5.4897,5.5775,0.793,5.3,5.877,5.5775,5.5775
sports_01_120_720,hifps_120_testnum_000,720,100.0,120,ref,30,28,1,1,"[16.0, 23.0]",[7.],1,5.0763,5.0975,5.06,5.1475,0.723,4.83,5.365,5.1475,5.1475
sports_01_1280x720_120_yuv420p.yuv_HEVC_0.3M,hifps_120_testnum_000,720,0.3,120,HEVC,30,29,1,0,[7.0],[7.],1,2.4233,2.359,2.359,2.359,0.599,2.141,2.577,2.359,2.359
sports_01_1280x720_30_yuv420p.yuv_HEVC_0.3M,hifps_120_testnum_000,720,0.3,30,HEVC,30,30,0,0,[],[7.],1,3.408,3.408,3.3486,3.3486,0.802,3.121,3.695,3.3486,3.3486
sports_01_1280x720_60_yuv420p.yuv_AV1_0.1M,hifps_120_testnum_000,720,0.1,60,AV1,30,30,0,0,[],[7.],1,1.8283,1.8283,1.7893,1.7893,0.592,1.616,2.04,1.7893,1.7893
sports_01_1280x720_60_yuv420p.yuv_AV1_0.3M,hifps_120_testnum_000,720,0.3,60,AV1,30,28,2,0,"[7.0, 29.0]",[7.],1,3.1607,2.9975,3.0614,2.9975,0.707,2.736,3.259,2.9975,2.9975
sports_01_1920x1080_120_yuv420p.yuv_HEVC_1M,hifps_120_testnum_000,1080,1.0,120,HEVC,30,28,1,1,"[3.0, 25.0]",[7.],1,4.0053,3.9725,3.9738,3.9374,0.721,3.706,4.239,3.9374,3.9374
sports_01_1920x1080_60_yuv420p.yuv_H264_1M,hifps_120_testnum_000,1080,1.0,60,H264,30,30,0,0,[],[7.],1,3.7253,3.7253,3.66,3.66,0.817,3.433,4.017,3.66,3.66
sports_01_960x540_120_yuv420p.yuv_HEVC_0.1M,hifps_120_testnum_000,540,0.1,120,HEVC,30,29,1,0,[21.0],[7.],1,1.336,1.28,1.3259,1.2675,0.338,1.157,1.403,1.2675,1.2675
sports_01_960x540_30_yuv420p.yuv_HEVC_0.1M,hifps_120_testnum_000,540,0.1,30,HEVC,30,29,1,0,[7.0],[7.],1,1.7817,1.729,1.729,1.729,0.527,1.537,1.921,1.729,1.729
sports_01_960x540_60_yuv420p.yuv_HEVC_0.3M,hifps_120_testnum_000,540,0.3,60,HEVC,30,30,0,0,[],[7.],1,2.925,2.925,2.8707,2.8707,0.702,2.674,3.176,2.8707,2.8707
3rd_01_1280x720_120_yuv420p.yuv_AV1_2M,hifps_120_testnum_000,720,2.0,120,AV1,30,30,0,0,[],[7.],1,4.1453,4.1453,4.109,4.109,0.868,3.835,4.456,4.109,4.109
3rd_01_1920x1080_120_yuv420p.yuv_H264_10M,hifps_120_testnum_000,1080,10.0,120,H264,30,30,0,0,[],[7.],1,5.0997,5.0997,5.0793,5.0793,0.75,4.831,5.368,5.0793,5.0793
3rd_01_1920x1080_120_yuv420p.yuv_H264_20M,hifps_120_testnum_000,1080,20.0,120,H264,30,30,0,0,[],[7.],1,5.3517,5.3517,5.3062,5.3062,0.823,5.057,5.646,5.3062,5.3062
3rd_01_1920x1080_120_yuv420p.yuv_HEVC_1M,hifps_120_testnum_000,1080,1.0,120,HEVC,30,29,1,0,[3.0],[7.],1,2.89,2.8103,2.8707,2.7875,0.884,2.489,3.132,2.7875,2.7875
3rd_01_960x540_60_yuv420p.yuv_H264_0.3M,hifps_120_testnum_000,540,0.3,60,H264,30,29,1,0,[7.0],[7.],1,1.497,1.4345,1.4345,1.3875,0.452,1.27,1.599,1.3875,1.3875
racing_01_120_1080,hifps_120_testnum_000,1080,100.0,120,ref,30,28,0,2,"[8.0, 10.0]",[7.],1,5.3983,5.5575,5.3979,5.563,0.756,5.278,5.837,5.563,5.563
racing_01_1280x720_120_yuv420p.yuv_HEVC_20M,hifps_120_testnum_000,720,20.0,120,HEVC,31,25,2,4,"[6.0, 6.0, 13.0, 22.0, 23.0, 29.0]",[7.],1,4.5429,4.6792,4.5303,4.6248,0.432,4.51,4.849,4.6248,4.6248
racing_01_1280x720_30_yuv420p.yuv_HEVC_5M,hifps_120_testnum_000,720,5.0,30,HEVC,30,29,0,1,[13.0],[7.],1,4.1827,4.2441,4.1597,4.2225,0.746,3.973,4.516,4.2225,4.2225
racing_01_960x540_120_yuv420p.yuv_HEVC_2M,hifps_120_testnum_000,540,2.0,120,HEVC,30,29,1,0,[7.0],[7.],1,2.9997,2.931,2.931,2.9925,0.743,2.661,3.201,2.9925,2.9925
racing_01_960x540_120_yuv420p.yuv_HEVC_5M,hifps_120_testnum_000,540,5.0,120,HEVC,30,29,0,1,[9.0],[7.],1,3.8117,3.9062,3.7421,3.8375,0.836,3.602,4.21,3.8375,3.8375
isometric_01_120_1080,hifps_120_testnum_000,1080,100.0,120,ref,31,30,0,1,[7.0],[7.],1,5.979,6.0703,6.0703,6.0703,0.738,5.806,6.334,6.0703,6.0703
isometric_01_1280x720_120_yuv420p.yuv_AV1_5M,hifps_120_testnum_000,720,5.0,120,AV1,30,30,0,0,[],[7.],1,4.9037,4.9037,4.8814,4.8814,0.688,4.657,5.15,4.8814,4.8814
